Timestamp,RightKneeAngle,RightHipAngle,Cadence,StrideLength
89.02,174.5,176.8,60.9,0.22
89.07,173.3,176.7,60.9,0.22
89.13,171.5,176.8,60.9,0.22
89.18,170.6,176.6,60.9,0.22
89.23,169.3,175.1,60.9,0.22
89.29,166.1,173.0,60.9,0.22
89.34,162.9,170.8,60.9,0.22
89.40,162.1,169.6,60.9,0.22
89.46,160.7,168.5,60.9,0.22
89.52,158.7,167.8,60.9,0.22
89.57,157.8,167.5,60.9,0.22
89.63,157.0,167.5,60.9,0.22
89.68,157.3,168.2,60.9,0.22
89.73,157.5,169.7,60.9,0.22
89.78,158.5,171.1,60.9,0.22
89.84,160.2,172.6,60.9,0.22
89.90,161.7,173.9,60.9,0.22
89.95,162.9,174.8,60.9,0.22
90.01,163.9,175.5,60.9,0.22
90.06,164.8,175.8,60.9,0.22
90.12,165.3,176.3,60.9,0.22
90.17,165.4,176.7,60.9,0.22
90.22,166.2,177.2,60.9,0.22
90.27,166.4,177.4,60.9,0.22
90.33,166.4,177.5,60.9,0.22
90.38,166.9,177.6,60.9,0.22
90.43,167.0,177.6,60.9,0.22
90.48,167.8,178.0,60.9,0.22
90.53,167.9,178.5,60.9,0.22
90.59,168.0,178.9,60.9,0.22
90.65,170.1,178.7,60.9,0.22
90.71,170.0,178.1,60.9,0.22
90.76,168.3,178.1,60.9,0.22
90.82,166.2,177.9,60.9,0.22
90.87,165.0,177.7,60.9,0.22
90.92,164.4,177.5,60.9,0.22
90.97,163.9,177.5,60.9,0.22
91.03,164.1,177.7,60.9,0.22
91.08,163.8,177.9,60.9,0.22
91.14,164.2,178.1,60.9,0.22
91.21,164.1,178.5,60.9,0.22
91.26,165.9,178.7,60.9,0.22
91.31,167.1,178.8,60.9,0.22
91.36,167.6,178.9,60.9,0.22
91.41,167.7,178.9,60.9,0.22
91.46,167.0,179.1,60.9,0.22
91.52,167.0,179.1,60.9,0.22
91.57,166.5,179.0,60.9,0.22
91.62,166.2,178.8,60.9,0.22
91.67,165.6,178.7,60.9,0.22
91.73,165.0,178.6,60.9,0.22
91.78,165.2,178.4,60.9,0.22
91.84,165.6,178.2,60.9,0.22
91.89,165.5,178.2,60.9,0.22
91.94,165.6,178.1,60.9,0.22
91.99,165.4,177.9,60.9,0.22
92.05,164.8,177.8,60.9,0.22
92.10,165.0,177.6,60.9,0.22
92.16,165.3,177.5,60.9,0.22
92.21,165.3,177.4,60.9,0.22
92.27,165.0,177.3,60.9,0.22
92.33,164.7,177.4,60.9,0.22
92.38,164.3,177.4,60.9,0.22
92.43,163.8,177.7,60.9,0.22
92.48,163.6,177.6,60.9,0.22
92.53,163.6,177.3,60.9,0.22
92.58,163.3,177.3,60.9,0.22
92.63,163.4,177.2,60.9,0.22
92.68,163.1,177.3,60.9,0.22
92.73,164.1,177.6,60.9,0.22
92.79,165.1,177.8,60.9,0.22
92.84,166.2,177.8,60.9,0.22
92.90,166.6,178.0,60.9,0.22
92.95,166.7,178.3,60.9,0.22
93.01,167.1,178.3,60.9,0.22
93.06,167.3,178.2,60.9,0.22
93.12,167.5,178.2,60.9,0.22
93.17,167.5,178.4,60.9,0.22
93.24,167.7,178.4,60.9,0.22
93.29,167.8,178.3,60.9,0.22
93.34,168.0,178.4,60.9,0.22
93.40,168.7,178.2,60.9,0.22
93.46,168.4,178.3,60.9,0.22
93.51,168.7,178.3,60.9,0.22
93.56,168.4,178.0,60.9,0.22
93.61,167.2,177.9,60.9,0.22
93.67,165.2,178.3,60.9,0.22
93.72,164.3,178.4,60.9,0.22
93.78,164.4,178.5,60.9,0.22
93.83,164.7,178.4,60.9,0.22
93.88,164.5,178.1,60.9,0.22
93.93,166.9,177.8,60.9,0.22
93.98,168.4,177.7,60.9,0.22
94.04,168.0,177.6,60.9,0.22
94.10,166.6,177.6,60.9,0.22
94.15,168.6,177.5,60.9,0.22
94.20,169.3,177.4,60.9,0.22
94.25,170.4,177.4,60.9,0.22
94.30,171.4,177.3,60.9,0.22
94.36,170.0,177.7,60.9,0.22
94.41,171.0,178.1,60.9,0.22
94.47,172.0,178.3,60.9,0.22
94.52,172.2,178.4,60.9,0.22
94.57,172.7,178.2,60.9,0.22
94.63,173.0,178.1,60.9,0.22
94.68,173.2,177.8,60.9,0.22
94.74,172.4,177.9,60.9,0.22
94.80,170.1,177.8,60.9,0.22
94.85,168.1,178.0,60.9,0.22
94.90,167.1,178.1,60.9,0.22
94.95,167.0,178.2,60.9,0.22
95.00,164.7,178.4,60.9,0.22
95.06,162.0,178.1,60.9,0.22
95.11,161.0,178.5,60.9,0.22
95.16,160.5,178.6,60.9,0.22
95.22,160.4,178.5,60.9,0.22
95.28,160.1,178.5,60.9,0.22
95.33,159.7,178.5,60.9,0.22
95.38,159.6,178.4,60.9,0.22
95.43,160.0,178.0,60.9,0.22
95.48,160.0,178.0,60.9,0.22
95.53,162.8,177.7,60.9,0.22
95.59,163.3,177.6,60.9,0.22
95.64,163.2,177.5,60.9,0.22
95.70,163.7,177.1,60.9,0.22
95.76,165.7,176.9,60.9,0.22
95.82,166.3,176.7,60.9,0.22
95.87,168.8,177.2,60.9,0.22
95.92,171.8,176.8,60.9,0.22
95.97,174.0,176.6,60.9,0.22
96.02,175.5,176.4,60.9,0.22
96.08,176.7,176.2,60.9,0.22
96.13,176.9,175.9,60.9,0.22
96.18,177.1,175.4,60.9,0.22
96.24,175.4,174.6,60.9,0.22
96.30,174.1,173.8,60.9,0.22
96.36,173.6,173.8,60.9,0.22
96.42,173.3,173.4,60.9,0.22
96.47,173.2,173.1,60.9,0.22
96.52,172.1,174.6,60.9,0.22
96.57,168.4,174.2,60.9,0.22
96.63,161.6,173.1,60.9,0.22
97.46,153.6,166.9,60.9,0.22
97.52,156.4,167.0,60.9,0.22
97.57,160.2,168.0,60.9,0.22
97.62,163.9,168.8,60.9,0.22
97.67,166.1,169.4,60.9,0.22
97.73,167.6,170.3,60.9,0.22
97.78,168.6,171.1,60.9,0.22
97.84,171.5,173.4,60.9,0.22
97.89,173.1,175.1,60.9,0.22
97.95,173.1,174.3,60.9,0.22
98.00,172.3,174.1,60.9,0.22
98.06,171.8,173.8,60.9,0.22
98.12,173.7,175.6,60.9,0.22
98.17,173.5,175.6,60.9,0.22
98.22,173.0,174.3,60.9,0.22
98.28,173.0,173.8,60.9,0.22
98.33,172.0,173.2,60.9,0.22
98.38,172.2,172.6,60.9,0.22
98.43,173.3,174.4,60.9,0.22
98.49,174.5,176.0,60.9,0.22
98.54,175.8,176.8,60.9,0.22
98.60,176.8,177.1,60.9,0.22
98.66,177.5,177.5,60.9,0.22
98.71,177.9,177.9,60.9,0.22
98.76,177.9,178.2,60.9,0.22
98.81,176.3,176.9,60.9,0.22
98.87,175.0,175.9,60.9,0.22
98.92,172.3,175.1,60.9,0.22
98.97,172.1,173.5,60.9,0.22
99.02,172.7,173.0,60.9,0.22
99.08,173.8,172.9,60.9,0.22
99.14,175.2,172.7,60.9,0.22
99.19,176.5,173.2,60.9,0.22
99.25,176.9,173.8,60.9,0.22
99.30,177.7,174.6,60.9,0.22
99.35,177.6,175.3,60.9,0.22
99.40,177.1,175.6,60.9,0.22
99.46,176.3,176.1,60.9,0.22
99.53,175.4,176.7,60.9,0.22
